task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
arm,bk_mbd,0,target_0,True,True,0.024280764414725486,nan,75,23.647667014350493,90.02227252721786,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.006118612018585205,116.95166015625
arm,bk_mbd,0,target_1,True,True,0.02381102996895859,nan,90,22.713442232149344,112.25613367557526,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.00701872358057234,356.1947937011719
arm,bk_mbd,0,target_2,True,True,0.024915764010346435,nan,115,24.01813900138697,106.90184795856476,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.003834332873302957,166.15882873535156
arm,bk_mbd,0,target_3,True,True,0.024219025924142053,nan,83,26.49192012150783,103.71100977063179,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.004645143697922488,103.88960266113281
arm,bk_mbd,0,target_4,True,True,0.02354024312080721,nan,77,23.382155663128216,78.46829202771187,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.003203887412455175,86.20706939697266
arm,bk_mbd,0,target_5,True,True,0.02330196253110106,nan,63,23.836115238419364,141.28389856219292,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.023535893607518038,569.6723022460938
arm,bk_mbd,0,target_6,True,False,0.03527458878261515,nan,120,23.852117074420676,98.2941263616085,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.0038836352181434632,388.14190673828125
arm,bk_mbd,1,target_0,True,True,0.024597857513619096,nan,71,22.783317678594884,91.1109424829483,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.005144016905905496,66.26786804199219
arm,bk_mbd,1,target_1,True,True,0.024987194772368954,nan,85,23.624298943425803,102.0631887614727,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.008690114321989172,482.9681091308594
arm,bk_mbd,1,target_2,True,False,0.03340295088953227,nan,120,25.630429658728342,113.27143704891205,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.003078799809217453,60.89923095703125
arm,bk_mbd,1,target_3,True,True,0.022126506324334508,nan,72,23.80204273827581,104.31147775053978,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.006296479462252723,113.92760467529297
arm,bk_mbd,1,target_4,True,True,0.024600479192163235,nan,78,23.336772075615443,78.30295315384865,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.002777280102020655,52.94367599487305
arm,bk_mbd,1,target_5,True,True,0.02490050178285171,nan,82,24.03615782798336,157.31014490127563,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.015811524906391053,450.3069152832031
arm,bk_mbd,1,target_6,False,False,0.05466272870612349,nan,120,25.247619174964104,112.12536126375198,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.001444850665728251,18.257850646972656
arm,bk_mbd,2,target_0,True,True,0.024868711054921833,nan,59,27.273620320957598,74.65092772245407,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.007580702165829933,101.96956634521484
arm,bk_mbd,2,target_1,True,True,0.02452326933185833,nan,75,24.178472521404426,84.60219249129295,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.005451026125590007,65.94943237304688
arm,bk_mbd,2,target_2,True,True,0.024982739632059582,nan,106,24.597848187868465,90.22001564502716,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.0026321269683118142,39.16904067993164
arm,bk_mbd,2,target_3,True,True,0.02451205230087071,nan,82,24.43228706024678,97.40061900019646,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.00665219552633239,182.594970703125
arm,bk_mbd,2,target_4,True,True,0.02413492573780667,nan,68,23.01838549935971,58.229565262794495,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.005223604445597704,182.75091552734375
arm,bk_mbd,2,target_5,True,True,0.02493159138033123,nan,73,23.135490973850022,150.5904531776905,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.03251920154519277,2297.013671875
arm,bk_mbd,2,target_6,True,True,0.024528031940248638,nan,106,23.964416141235183,78.8244971036911,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.003623005442349416,273.84417724609375
arm,bk_mbd,3,target_0,True,True,0.023572054485468473,nan,75,22.861966906736296,123.08849257230759,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.005076439891815185,77.40048217773438
arm,bk_mbd,3,target_1,True,True,0.024856426139296568,nan,107,21.918748057160144,150.56378436088562,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.0035961611132755466,55.596397399902344
arm,bk_mbd,3,target_2,False,False,0.051163633890504774,nan,120,23.918588059799124,149.43452858924866,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.007578665458361307,963.5264892578125
