task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
arm,bk_mbd,0,target_0,True,True,0.02279262830138317,nan,55,75.37437280301343,63.04831311106682,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.00693761888850819,101.52095794677734
arm,bk_mbd,0,target_1,True,True,0.02453360561828097,nan,66,69.51693877239119,74.29310262203217,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.007730554926034174,220.7252197265625
arm,bk_mbd,0,target_2,True,True,0.022861523299600388,nan,78,65.60695566571293,74.99467957019806,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.004661190413206053,135.755615234375
arm,bk_mbd,0,target_3,True,True,0.024657671343548133,nan,64,69.62137298251037,80.15892693400383,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.006978648822009563,157.7671356201172
arm,bk_mbd,0,target_4,True,True,0.02390435050447017,nan,67,69.5676651345427,61.45217123627663,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.0030718744406059606,68.40752410888672
arm,bk_mbd,0,target_5,True,True,0.024798646244467596,nan,70,69.58828347269446,127.16183891892433,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.025669803480420795,999.6881713867188
arm,bk_mbd,0,target_6,True,True,0.02450584473926116,nan,105,73.36823696137539,80.95848679542542,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.001956409154165359,42.93427276611328
arm,bk_mbd,1,target_0,True,True,0.02279247620913702,nan,59,71.84271593341383,70.58153748512268,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.008271349089024433,246.00735473632812
arm,bk_mbd,1,target_1,True,True,0.024038194183205484,nan,65,71.57183192455425,76.257070094347,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.008633435563307543,233.05152893066406
arm,bk_mbd,1,target_2,True,True,0.024711437873165595,nan,112,74.21206448218852,98.19125425815582,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.0037010876655578615,93.31723022460938
arm,bk_mbd,1,target_3,True,True,0.0245200347869711,nan,63,72.35322084041341,81.5800216794014,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.009081123653290762,301.9147644042969
arm,bk_mbd,1,target_4,True,True,0.020559226614696915,nan,68,72.91347767664668,65.55032417178154,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.003053456408837262,41.41401672363281
arm,bk_mbd,1,target_5,True,True,0.023382980300688486,nan,78,72.80892798474106,137.60965383052826,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.020869094923215037,351.0250549316406
arm,bk_mbd,1,target_6,True,False,0.031572557645880524,nan,120,69.27911611661936,96.0767951309681,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.0020293602045377097,43.404239654541016
arm,bk_mbd,2,target_0,True,True,0.01975734464421344,nan,49,77.86296959016092,55.348022639751434,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.009573304223041148,181.3784942626953
arm,bk_mbd,2,target_1,True,True,0.02424010987106466,nan,67,75.5664431490004,66.75224137306213,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.007185173494424393,165.5723114013672
arm,bk_mbd,2,target_2,True,True,0.024276772736780475,nan,67,71.23361840329842,56.413263857364655,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.004722367585594975,67.00768280029297
arm,bk_mbd,2,target_3,True,True,0.02444917564187185,nan,69,75.76911701429366,74.22383633255959,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.008089182965651802,162.24693298339844
arm,bk_mbd,2,target_4,True,True,0.023402926216861287,nan,56,72.13796192913183,47.25400376319885,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.003894684393065316,63.07337188720703
arm,bk_mbd,2,target_5,True,True,0.02326683802070199,nan,48,68.91548473019309,91.51428374648094,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.03085831877191862,399.99188232421875
arm,bk_mbd,2,target_6,True,True,0.024374880288450418,nan,90,69.74155432285949,61.649872332811356,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.0021225404347313776,39.716556549072266
arm,bk_mbd,3,target_0,True,True,0.02450076098506602,nan,70,73.37564328751925,107.60562527179718,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.00937085540226528,254.18222045898438
arm,bk_mbd,3,target_1,True,True,0.02464686470641419,nan,79,73.78093584711793,107.52053725719452,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.012239904484567765,652.7072143554688
