task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
franka,bk_mbd,0,target_0,True,True,0.023476439636360476,nan,61,15.610277145093338,76.9694430232048,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.003423599462040135,19.890079498291016
franka,bk_mbd,0,target_1,True,True,0.02460112633938263,nan,59,15.818248341112572,73.16153484582901,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.003308278184017893,14.441584587097168
franka,bk_mbd,0,target_2,True,True,0.02387196423123607,nan,45,14.878246778001389,58.763930320739746,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.003116859550476074,5.6866278648376465
franka,bk_mbd,0,target_3,True,True,0.02157718467555216,nan,23,16.51457521011648,35.19261187314987,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.007481825115369714,50.28549575805664
franka,bk_mbd,0,target_4,True,True,0.023118053173377194,nan,24,16.786944460667048,32.23615074157715,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.030908878588676456,955.4229736328125
franka,bk_mbd,0,target_5,True,True,0.024606350256500965,nan,47,16.046439342081865,59.358833372592926,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.0034146372653068384,16.276601791381836
franka,bk_mbd,0,target_6,True,True,0.023741887073140372,nan,32,14.202594378730282,38.48222625255585,0.0035333103267475964,0.0036121883895248175,0.05410404359339893,0.003103459644317627,5.996128559112549
franka,bk_mbd,1,target_0,True,True,0.024488459251644907,nan,37,16.73616635034213,48.47863984107971,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.0055523194493474195,75.6190414428711
franka,bk_mbd,1,target_1,True,True,0.02377945345290967,nan,55,16.470543820072304,71.2126647233963,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.0036747416687011726,16.045446395874023
franka,bk_mbd,1,target_2,True,True,0.02327992571786391,nan,50,16.489910362288356,66.13015252351761,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.003394083679199219,6.353307247161865
franka,bk_mbd,1,target_3,True,True,0.023787128210589197,nan,27,16.904051148298162,38.214920818805695,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.005851811416060837,34.581607818603516
franka,bk_mbd,1,target_4,True,True,0.024573389577595816,nan,35,16.579036374709435,47.23167246580124,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.004397424937656948,17.943443298339844
franka,bk_mbd,1,target_5,True,True,0.02142019747206141,nan,57,17.191471454376977,70.71511214971542,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.00342097202769497,16.201974868774414
franka,bk_mbd,1,target_6,True,True,0.020162146757835463,nan,35,19.741036084347538,45.31849294900894,0.0037118911277502775,0.0035458493512123823,0.053066061911480916,0.0028576000268118722,3.871786594390869
franka,bk_mbd,2,target_0,True,True,0.023487197972363323,nan,54,16.610469112897086,62.16325384378433,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.0025076423680340802,7.663698673248291
franka,bk_mbd,2,target_1,True,True,0.023865110966754057,nan,64,14.77870090820943,69.98820650577545,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.0024208739161491392,7.501147747039795
franka,bk_mbd,2,target_2,True,True,0.023983034502563474,nan,70,16.162308099280512,77.04447281360626,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.002218945105416434,4.540881156921387
franka,bk_mbd,2,target_3,True,True,0.022843000422334166,nan,19,17.875664683647063,26.502848505973816,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.008493354988098147,82.97361755371094
franka,bk_mbd,2,target_4,True,True,0.023734200334301743,nan,22,19.16428072251041,28.772148549556732,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.006161034427989613,49.98267364501953
franka,bk_mbd,2,target_5,True,True,0.024959156433888924,nan,54,15.246924668274543,57.41723841428757,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.002447418246445832,10.457035064697266
franka,bk_mbd,2,target_6,True,True,0.022690143251199845,nan,45,15.855550310677952,48.68560254573822,0.0035498947370797397,0.0035471103619784117,0.0530794891929941,0.002042090127733019,3.2736897468566895
franka,bk_mbd,3,target_0,True,True,0.023673650081340637,nan,61,16.57974467322719,47.817463397979736,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.001767499010680152,7.502175807952881
franka,bk_mbd,3,target_1,True,True,0.024366423539947536,nan,37,15.04110816136204,31.278699457645416,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.0021219112267365325,8.188257217407227
franka,bk_mbd,3,target_2,True,True,0.024334188316446306,nan,71,16.79584102928114,53.803912460803986,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.0014098344453623596,1.9579403400421143
franka,bk_mbd,3,target_3,True,True,0.02463910478279375,nan,19,17.873472791459214,19.198604106903076,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.0034143152989839255,10.2521390914917
franka,bk_mbd,3,target_4,True,True,0.02101961496336642,nan,21,19.166545044364675,18.561697840690613,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.004991702715555826,42.053871154785156
franka,bk_mbd,3,target_5,True,True,0.02453404844916819,nan,42,17.660337949304708,35.48892015218735,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.0019753547532217843,5.0712103843688965
franka,bk_mbd,3,target_6,True,True,0.024648592779437314,nan,81,17.712633134107346,59.40093618631363,0.003369015408679843,0.004498672671616077,0.06265220717385435,0.001236353870674416,1.6214474439620972
franka,bk_mbd,4,target_0,True,True,0.024841903135894246,nan,69,18.150582116610114,81.34914189577103,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.00279092009447623,14.0925874710083
franka,bk_mbd,4,target_1,True,True,0.01986815675062399,nan,56,15.684668910190728,64.6443418264389,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.0030079364708491736,14.461923599243164
franka,bk_mbd,4,target_2,True,True,0.022696781603339662,nan,51,16.124147273527058,62.245754420757294,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.002538830278434005,4.532725811004639
franka,bk_mbd,4,target_3,True,True,0.024857155876340062,nan,24,16.107869082285713,33.60634386539459,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.0043896708170572925,17.87084197998047
franka,bk_mbd,4,target_4,True,True,0.018616906549835287,nan,26,16.42847869795962,34.630456149578094,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.007401040429335375,76.7388687133789
franka,bk_mbd,4,target_5,True,True,0.024180506026986587,nan,83,16.694276905001466,90.65724223852158,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.0026194352816386393,12.264864921569824
franka,bk_mbd,4,target_6,True,True,0.024882691054171888,nan,56,15.689875248686544,62.71244829893112,0.003638819488696754,0.003479012753814459,0.05266260719989242,0.0022772428955350607,3.406386375427246
