task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
arm,bk_mbd,0,target_0,True,True,0.020466986532052377,nan,65,23.404293983744886,82.0227838754654,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.012772670833881086,178.85472106933594
arm,bk_mbd,0,target_1,True,True,0.023806392068226132,nan,90,21.37832934450772,104.00022476911545,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.009968078808254666,198.60365295410156
arm,bk_mbd,0,target_2,True,False,0.031900075172990226,nan,120,21.93492545823877,111.42148730158806,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.007720183226267497,169.2832489013672
arm,bk_mbd,0,target_3,True,True,0.02471461144584314,nan,97,23.294124845895418,116.6893544793129,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.009850543790994232,210.8651885986328
arm,bk_mbd,0,target_4,True,True,0.023481784922649986,nan,71,21.067316519280133,71.14372637867928,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.00663925832291724,80.58981323242188
arm,bk_mbd,0,target_5,True,True,0.024059137372955692,nan,60,23.010233032982796,132.1092489361763,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.024738753032684323,276.9817199707031
arm,bk_mbd,0,target_6,True,False,0.03680711628120957,nan,120,21.57494089915417,96.02245593070984,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.006995995175043742,382.8880920410156
arm,bk_mbd,1,target_0,True,True,0.024990103731158685,nan,65,22.959279308382136,83.09423828125,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.010557942469670222,93.99368286132812
arm,bk_mbd,1,target_1,True,True,0.023606217927830794,nan,90,22.699502343311906,102.2053661942482,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.012724871559143067,378.0001525878906
arm,bk_mbd,1,target_2,True,False,0.0391503214670574,nan,120,23.8678559990755,112.98539087176323,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.00695750122388204,78.85603332519531
arm,bk_mbd,1,target_3,True,True,0.02318027529741762,nan,72,23.322186070597834,95.54042303562164,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.01106741163995531,151.22752380371094
arm,bk_mbd,1,target_4,True,True,0.024989277914573005,nan,92,21.997678283419784,82.27880758047104,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.005725932689335036,55.82237243652344
arm,bk_mbd,1,target_5,True,True,0.0244138699961373,nan,80,21.854208924924023,147.7735875248909,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.024980632934570313,634.39794921875
arm,bk_mbd,1,target_6,False,False,0.05001423258591957,nan,120,22.15690564092559,108.23338222503662,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.004484184840520224,23.35968780517578
arm,bk_mbd,2,target_0,True,True,0.02494486515012201,nan,50,22.06024563871324,65.7735892534256,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.01370679882049561,120.80013275146484
arm,bk_mbd,2,target_1,True,True,0.024894405142140634,nan,74,21.443242052997892,82.36150813102722,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.010902542835957294,90.02479553222656
arm,bk_mbd,2,target_2,True,False,0.031221352490837007,nan,120,22.15585239076366,99.35613536834717,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.0067251127815246585,61.568416595458984
arm,bk_mbd,2,target_3,True,True,0.02491881270817679,nan,83,21.82033595191427,98.88506430387497,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.011798303282404521,153.9839324951172
arm,bk_mbd,2,target_4,True,True,0.024854897201400064,nan,68,23.407284252564697,56.57490316033363,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.01917766289430506,1215.2821044921875
arm,bk_mbd,2,target_5,True,True,0.02258673557569801,nan,49,22.268778226357334,121.33675700426102,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.03132639536176409,369.9477233886719
arm,bk_mbd,2,target_6,True,True,0.02405865064299127,nan,106,22.214630897648913,75.50909608602524,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.007457140170403246,318.9162902832031
arm,bk_mbd,3,target_0,True,True,0.023124473744845598,nan,73,21.210117425055127,124.78162604570389,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.009109417693255701,97.174560546875
arm,bk_mbd,3,target_1,True,True,0.02474407098550235,nan,114,21.36986448200779,164.3427209854126,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.007298157069557593,84.67977142333984
arm,bk_mbd,3,target_2,False,False,0.056420617000894464,nan,120,21.889960684347898,159.34326297044754,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.014589371248881024,1921.6826171875
arm,bk_mbd,3,target_3,True,True,0.02465244716739791,nan,98,22.47822941851099,165.9940060377121,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.007566671017238072,94.07305908203125
arm,bk_mbd,3,target_4,True,True,0.024121962028604997,nan,117,22.85388546088376,147.27970284223557,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.005323133879441482,103.67929077148438
arm,bk_mbd,3,target_5,True,True,0.02290471863437734,nan,99,21.907980050515345,219.36754846572876,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.02145041182932228,606.46533203125
arm,bk_mbd,3,target_6,False,False,0.052652239323839445,nan,120,19.866858933043357,130.4569589495659,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.0042138140948613486,62.812660217285156
arm,bk_mbd,4,target_0,True,True,0.024582769194388353,nan,58,20.98439608556058,77.64135652780533,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.015211311702070567,310.68951416015625
arm,bk_mbd,4,target_1,True,True,0.021734595342687693,nan,93,22.935134173440996,106.76227939128876,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.010482988115536268,288.5683288574219
arm,bk_mbd,4,target_2,True,False,0.03433604799120297,nan,120,22.018532158108428,99.24316841363907,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.005881894674301147,42.634857177734375
