task,method,seed,case_id,success,strict_success,final_error,angle_error,steps,planning_time_ms,total_cost,train_loss,val_multistep_error,koopman_open_loop_error,tube_cost,max_tube
arm,bk_mbd,0,target_0,True,True,0.020957938425562865,nan,59,19.913586543209977,89.69606184959412,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.019359853395365053,352.30596923828125
arm,bk_mbd,0,target_1,True,True,0.024331303615267398,nan,86,16.437406605651038,117.95991557836533,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.01408479225690975,288.9222717285156
arm,bk_mbd,0,target_2,True,False,0.028173916919701395,nan,120,17.33365872448,129.36318612098694,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.01602764636039734,1094.58154296875
arm,bk_mbd,0,target_3,True,True,0.024826693701884717,nan,94,18.089653275154056,133.0063368678093,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.019356141475920983,807.8763427734375
arm,bk_mbd,0,target_4,True,True,0.024753411575239522,nan,84,16.913621558896487,91.1789363026619,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.010715888223193939,301.9697570800781
arm,bk_mbd,0,target_5,True,True,0.024053634292525574,nan,63,16.978229920838086,162.4818875193596,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.037870957650078675,795.9467163085938
arm,bk_mbd,0,target_6,False,False,0.05159797344409393,nan,120,16.343529493315145,119.87731689214706,0.0038444030331447722,0.004282394889742136,0.05892683767409565,0.006677770760854086,162.60337829589844
arm,bk_mbd,1,target_0,True,True,0.019845518682491136,nan,72,16.208547306531628,107.73543763160706,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.019051598718431262,582.1058959960938
arm,bk_mbd,1,target_1,True,True,0.02476972190327635,nan,77,16.896544272297774,108.37325519323349,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.022028028037331324,1314.2457275390625
arm,bk_mbd,1,target_2,True,False,0.03590920587524396,nan,120,18.460578133817762,130.79794138669968,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.009066822414398193,168.3462677001953
arm,bk_mbd,1,target_3,True,True,0.024727373973352913,nan,80,18.551352189388126,124.0335333943367,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.015832182426452634,370.24530029296875
arm,bk_mbd,1,target_4,True,True,0.02272418539705391,nan,80,17.21019720134791,91.1393051147461,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.007591982836723328,108.64158630371094
arm,bk_mbd,1,target_5,True,True,0.022623024711313215,nan,63,17.84753303102676,156.37607443332672,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.029135352349659752,285.30645751953125
arm,bk_mbd,1,target_6,False,False,0.06193062850962615,nan,120,17.445568757830188,114.29211774468422,0.0037941141054034233,0.004470661282539368,0.06018682591244914,0.006260968319574993,84.637451171875
arm,bk_mbd,2,target_0,True,True,0.024806891402576286,nan,64,17.256878345506266,87.96360754966736,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.027642256814241414,859.1610717773438
arm,bk_mbd,2,target_1,True,True,0.024367272737380062,nan,78,17.172125245754916,97.89525580406189,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.01614034259991768,338.357421875
arm,bk_mbd,2,target_2,True,True,0.023421856269481196,nan,91,18.159513781358907,93.0513865351677,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.008210810604724254,68.79443359375
arm,bk_mbd,2,target_3,True,False,0.028951963341418183,nan,120,16.97336850920692,137.62612736225128,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.011923458350499471,239.42147827148438
arm,bk_mbd,2,target_4,True,True,0.0239029023974025,nan,78,15.996326743147502,73.86430084705353,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.00952756826938727,162.21609497070312
arm,bk_mbd,2,target_5,True,True,0.021067824669873836,nan,50,16.29718116018921,124.48576146364212,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.037186203598022466,349.2331848144531
arm,bk_mbd,2,target_6,True,False,0.03746656575542952,nan,120,17.86323839914985,98.45182445645332,0.003805509023368359,0.004468545317649841,0.060141343973233834,0.006282979017893473,75.22469329833984
arm,bk_mbd,3,target_0,True,True,0.023639979336003966,nan,83,17.702116204582783,162.22495931386948,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.02373281238509948,733.7820434570312
arm,bk_mbd,3,target_1,True,False,0.04533508127252881,nan,120,17.533799142499145,221.16849845647812,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.015828814452489216,630.32470703125
arm,bk_mbd,3,target_2,True,False,0.04080248782459699,nan,120,16.224187092545133,188.07423722743988,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.031549458916982014,4421.81787109375
arm,bk_mbd,3,target_3,True,False,0.03063141350370247,nan,120,17.596234707161784,233.6582697033882,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.015528893823623657,649.2119750976562
arm,bk_mbd,3,target_4,True,False,0.031770809231164356,nan,120,16.994744058077533,187.8191732764244,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.038728836730321244,3681.98828125
arm,bk_mbd,3,target_5,False,False,0.05541762490928052,nan,120,16.987086632677045,355.2370420098305,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.03142803787231445,1480.921875
arm,bk_mbd,3,target_6,False,False,0.06566394829517021,nan,120,17.285224482960377,166.54149001836777,0.0037195479962974787,0.004733286798000336,0.06194544368001123,0.012513039464950559,728.1173706054688
arm,bk_mbd,4,target_0,True,True,0.024711565610769048,nan,60,17.44802645019566,92.49228370189667,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.021495739123026526,596.7460327148438
arm,bk_mbd,4,target_1,True,True,0.023843506795763917,nan,82,19.117284049393565,102.6483359336853,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.019266335845575095,915.2991333007812
arm,bk_mbd,4,target_2,True,False,0.04182413234768038,nan,120,17.993656458565965,112.98296022415161,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.008348537693023681,111.72711181640625
arm,bk_mbd,4,target_3,True,True,0.02287765590933114,nan,83,16.709559543776404,135.29897317290306,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.030486376741708048,2331.1865234375
arm,bk_mbd,4,target_4,True,True,0.023381303623031313,nan,78,17.928999615833163,80.4329001903534,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.007982122934781587,81.31922149658203
arm,bk_mbd,4,target_5,True,True,0.024390112682173847,nan,86,16.278997104246777,175.58736270666122,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.022549078874809798,429.5345458984375
arm,bk_mbd,4,target_6,True,False,0.027123332341481666,nan,120,17.1229082334321,100.3505402803421,0.003773450618609786,0.004492477979511023,0.06033808786724022,0.006146074730555216,94.4771499633789
